iter	Passed	Remaining
761	1040	324
762	1041	323
763	1043	322
764	1045	321
765	1046	319
766	1048	318
767	1049	316
768	1050	315
769	1051	314
770	1053	313
771	1055	311
772	1056	310
773	1057	308
774	1058	307
775	1059	305
776	1061	304
777	1062	303
778	1063	301
779	1064	300
780	1065	298
781	1067	297
782	1069	296
783	1070	294
784	1071	293
785	1072	292
786	1074	290
787	1076	289
788	1077	288
789	1078	286
790	1079	285
791	1081	283
792	1082	282
793	1083	281
794	1084	279
795	1085	278
796	1086	276
797	1088	275
798	1089	273
799	1089	272
800	1091	271
801	1092	269
802	1093	268
803	1094	266
804	1095	265
805	1097	264
806	1098	262
807	1100	261
808	1101	259
809	1102	258
810	1103	257
811	1104	255
812	1106	254
813	1107	253
814	1108	251
815	1109	250
816	1110	248
817	1111	247
818	1112	245
819	1114	244
820	1114	243
821	1116	241
822	1117	240
823	1118	238
824	1119	237
825	1120	236
826	1121	234
827	1123	233
828	1124	232
829	1125	230
830	1126	229
831	1128	227
832	1129	226
833	1130	225
834	1131	223
835	1132	222
836	1133	220
837	1135	219
838	1136	218
839	1137	216
840	1139	215
841	1140	213
842	1141	212
843	1142	211
844	1143	209
845	1144	208
846	1145	206
847	1146	205
848	1147	204
849	1148	202
850	1149	201
851	1150	199
852	1151	198
853	1153	197
854	1154	195
855	1155	194
856	1156	193
857	1157	191
858	1158	190
859	1159	188
860	1161	187
861	1162	186
862	1163	184
863	1164	183
864	1165	181
865	1166	180
866	1167	179
867	1168	177
868	1169	176
869	1170	174
870	1171	173
871	1172	172
872	1174	170
873	1175	169
874	1176	168
875	1177	166
876	1179	165
877	1180	164
878	1181	162
879	1182	161
880	1183	159
881	1185	158
882	1186	157
883	1187	155
884	1188	154
885	1189	153
886	1190	151
887	1191	150
888	1192	148
889	1194	147
890	1195	146
891	1196	144
892	1198	143
893	1199	142
894	1200	140
895	1201	139
896	1202	138
897	1203	136
898	1205	135
899	1206	134
900	1206	132
901	1207	131
902	1208	129
903	1210	128
904	1211	127
905	1212	125
906	1213	124
907	1214	123
908	1215	121
909	1216	120
910	1217	118
911	1218	117
912	1219	116
913	1220	114
914	1221	113
915	1222	112
916	1223	110
917	1224	109
918	1224	107
919	1226	106
920	1227	105
921	1228	103
922	1228	102
923	1229	101
924	1230	99
925	1231	98
926	1232	97
927	1233	95
928	1234	94
929	1234	92
930	1235	91
931	1236	90
932	1237	88
933	1238	87
934	1239	86
935	1240	84
936	1242	83
937	1243	82
938	1244	80
939	1245	79
940	1246	78
941	1247	76
942	1248	75
943	1249	74
944	1250	72
945	1251	71
946	1252	70
947	1252	68
948	1253	67
949	1254	66
950	1255	64
951	1256	63
952	1257	62
953	1258	60
954	1260	59
955	1261	58
956	1262	56
957	1263	55
958	1264	54
959	1265	52
960	1266	51
961	1267	50
962	1268	48
963	1269	47
964	1269	46
965	1270	44
966	1271	43
967	1272	42
968	1273	40
969	1274	39
970	1276	38
971	1276	36
972	1277	35
973	1279	34
974	1279	32
975	1280	31
976	1281	30
977	1282	28
978	1283	27
979	1284	26
980	1285	24
981	1287	23
982	1288	22
983	1289	20
984	1290	19
985	1291	18
986	1292	17
987	1293	15
988	1294	14
989	1295	13
990	1296	11
991	1297	10
992	1298	9
993	1299	7
994	1300	6
995	1301	5
996	1302	3
997	1303	2
998	1304	1
999	1306	0
